id,title,price,area_in_words,address,created_at,updated_at,price_in_words,external_id,district,ward_name,area,district_id,ward_id,agent_id,lat,long,prop_type,address1
5536,"Đất biệt thự sát nhà thờ PhaoLo 17,2 tỷ TL cần bán gấp dt 10x19m",17200000000,190 m2,"Đường số 7, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:34.605657,2022-07-15 17:45:39.994122,17 tỷ 200 triệu,id21365444,Quận Bình Tân,Phường Bình Trị Đông B,190.0,16,153,123,106.609161,10.742732,dat tho cu,
5554,"Bán đất MT đường Số 32A, Bình Trị Đông B, 5 x 20m, giá 8.3 tỷ. khu Tên",8300000000,100 m2,"Đường số 32A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:34.678778,2022-07-16 17:51:12.664522,8 tỷ 300 triệu,id21368194,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5649,"Đất sinco hẻm xe tải vivu 50tr/m, cần bán 380m2 giá 16,3 tỷ thương lượ",16300000000,380 m2,,2022-07-04 16:43:35.368573,2022-07-07 09:57:27.982729,16 tỷ 300 triệu,id21164743,Quận Bình Tân,Phường Bình Trị Đông B,380.0,16,153,123,,,dat tho cu,
5672,"Bán đất MT đường Số 5, P. Bình Trị Đông B, 5 x 20m, giá 9,3 tỷ. khu Tê",9300000000,100 m2,"Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:35.434016,2022-07-16 08:56:27.594851,9 tỷ 300 triệu,id21394962,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5716,"Bán đất MT đường Số 21A, P. Bình Trị Đông B, 4 x 22.5m, giá 7.2 tỷ. kh",7200000000,90 m2,,2022-07-04 16:43:35.857756,2022-07-07 09:57:28.44264,7 tỷ 200 triệu,id21018727,Quận Bình Tân,Phường Bình Trị Đông B,90.0,16,153,123,,,dat tho cu,
5816,"Bán đất MT đường Số 6B, P. Bình Trị Đông B, 4.5 x 20m, giá 7.25 tỷ. kh",7250000000,90 m2,,2022-07-04 16:43:36.394269,2022-07-07 09:57:29.849067,7 tỷ 250 triệu,id21022287,Quận Bình Tân,Phường Bình Trị Đông B,90.0,16,153,123,,,dat tho cu,
5785,"Bán đất MT đường Tên Lửa nhỏ , P. Bình Trị Đông B , Q.Bình Tân, 4x20m,",10500000000,80 m2,"Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",2022-07-04 16:43:36.30657,2022-07-16 17:52:16.689583,10 tỷ 500 triệu,id20378230,Quận Bình Tân,Phường Bình Trị Đông B,80.0,16,153,123,106.612437,10.746403,dat tho cu,"Tên Lửa, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5802,"Đất nhà phố cặp dt 8x20m giá 13,2 tỷ",13200000000,160 m2,"Đường số 32B, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",2022-07-04 16:43:36.358421,2022-07-16 08:58:15.360494,13 tỷ 200 triệu,id20482069,Quận Bình Tân,Phường Bình Trị Đông B,160.0,16,153,123,106.608006,10.753510,dat tho cu,"65-43 Đ. số 32A, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5932,"Đất đường số 1A dt 6x21m giá 14,5 tỷ cần bán gấp",14500000000,126 m2,"Đường số 1A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:37.307434,2022-07-16 17:52:57.086034,14 tỷ 500 triệu,id21211031,Quận Bình Tân,Phường Bình Trị Đông B,126.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5891,"Bán đất biệt thự MT đường Số 19D, P. Bình Trị Đông B, 10 x 20m, giá 17",17500000000,200 m2,"đường số 19D, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:36.976722,2022-07-16 08:59:47.636298,17 tỷ 500 triệu,id21308977,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5935,"Bán đất 4x21m MTKD đường số 1 giá 15,5 tỷ",15500000000,84 m2,"Đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",2022-07-04 16:43:37.323273,2022-07-15 17:55:15.822951,15 tỷ 500 triệu,id20484271,Quận Bình Tân,Phường Bình Trị Đông B,84.0,16,153,123,106.611907,10.747902,dat tho cu,
6004,"Bán nền biệt thự MT Số 8, P. BTĐông B, 10 x 25m, giá 22 t",22000000000,250 m2,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",2022-07-04 16:43:37.78434,2022-07-07 09:57:30.790561,22 tỷ,id21264062,Quận Bình Tân,Phường Bình Trị Đông B,250.0,16,153,123,106.609161,10.742732,dat tho cu,
6009,"Bán đất Biệt thự Góc 2 MT đường Số 5 và số 8, P. Bình Trị Đông B",27000000000,242 m2,,2022-07-04 16:43:37.810564,2022-07-07 09:57:31.076365,27 tỷ,id20835223,Quận Bình Tân,Phường Bình Trị Đông B,242.0,16,153,123,,,dat tho cu,
4100,Bán Nền Đất 66m2 Sát Chợ Bình Tân Đường Nhựa Lớn Tiện Kinh Doanh,4000000000,66 m2,"Đường số 7, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:23.939263,2022-07-15 17:59:09.568578,4 tỷ,id21591232,Quận Bình Tân,Phường Bình Trị Đông B,66.0,16,153,2,106.609161,10.742732,dat tho cu,
4118,"Bán đất biệt thự MT đường Số 19D, P. Bình Trị Đông B, 10 x 20m, giá 21",21000000000,200 m2,"đường số 19D, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.030776,2022-07-16 17:54:08.950039,21 tỷ,id21586611,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4127,"Bán Đất MT đường Số 6, P. Bình Trị Đông B, 4.5 x 22m, giá 9.4 tỷ. khu",9400000000,99 m2,,2022-07-04 16:43:24.061257,2022-07-07 09:57:20.503459,9 tỷ 400 triệu,id21124311,Quận Bình Tân,Phường Bình Trị Đông B,99.0,16,153,123,,,dat tho cu,
4104,"bán lô đất đường Tên Lửa, (5x16m) 80m2, giá 1,8 tỷ xây dựng ngay SHR",1800000000,100 m2,,2022-07-04 16:43:23.969665,2022-07-07 09:57:22.232249,1 tỷ 800 triệu,id21107456,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,28,,,dat tho cu,
6155,Bán Nhanh Lô đất nền 100m mặt tiền đường Sinco Cạnh AEON BT đường 20m,3550000000,100 m2,"Đường Sinco, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:38.821811,2022-07-16 09:02:32.054737,3 tỷ 550 triệu,id21239059,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,246,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4207,"Đất mặt tiền Bán đất MT đường 32A, Bình Trị Đông B,  Bình Tân, 5",9600000000,100 m2,"Đường số 32A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.586475,2022-07-15 17:59:55.513963,9 tỷ 600 triệu,id21574536,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,124,106.609161,10.742732,dat tho cu,
4200,Bán đất nên MTKD đường số 34. Bình Trị Đông B.  Bình Tân,28000000000,200 m2,"Đường số 34, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.561017,2022-07-16 09:02:36.439594,28 tỷ,id21575258,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,124,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4185,"Bán đất MT đường Số 7A, P. Bình Trị Đông B, 5 x 20m, giá 11.3 tỷ",11300000000,100 m2,"Đường số 7A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.525955,2022-07-16 09:02:36.776126,11 tỷ 300 triệu,id21670815,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4212,"Bán đất MT đường Số 5, P. Bình Trị Đông B, 5 x 20m, giá 11.2 tỷ",11200000000,100 m2,"Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.598262,2022-07-15 17:59:58.566246,11 tỷ 200 triệu,id21670809,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,
6189,"Bán đất mặt tiền 86 Đường Số 29 ,Tên lửa BTĐ B diện tích : 11x27m",30000000000,293 m2,"Đường số 29, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:39.255018,2022-07-16 09:02:38.677113,30 tỷ,id21363310,Quận Bình Tân,Phường Bình Trị Đông B,293.0,16,153,760,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4228,Bán đất nên MTKD đường số 34. Bình Trị Đông B.  Bình Tân. 20 x 20m .,56000000000,400 m2,"Đường số 34, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.635707,2022-07-16 09:02:37.311327,56 tỷ,id21575291,Quận Bình Tân,Phường Bình Trị Đông B,400.0,16,153,124,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4130,"Bán đất MT đường Số 8A, P. Bình Trị Đông B, 4 x 18m, giá 7.6 tỷ",7600000000,72 m2,"Đường số 8A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:24.069006,2022-07-16 09:02:35.566239,7 tỷ 600 triệu,id21679657,Quận Bình Tân,Phường Bình Trị Đông B,72.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
