DATE,STATION,NAME,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
1960-02-27,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,56.0,39.0,,,,,,,,,,,,,,,,,,,
1960-02-28,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,57.0,45.0,,,,,,,,,,,,,,,,,,,
1960-02-29,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,43.0,,,,,,,,,,,,,,,,,,,
1960-03-01,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,55.0,43.0,,,,,,,,,,,,,,,,,,,
1960-03-02,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,58.0,40.0,,,,,,,,,,,,,,,,,,,
1960-03-03,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,47.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-04,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,52.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-05,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.13,0.0,0.0,,58.0,54.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-03-06,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.19,0.0,0.0,,59.0,52.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,
1960-03-07,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.11,0.0,0.0,,61.0,50.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-03-08,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,43.0,,,,,,,,,,,,,,,,,,,
1960-03-09,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,44.0,,,,,,,,,,,,,,,,,,,
1960-03-10,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,38.0,,,,,,,,,,,,,,,,,,,
1960-03-11,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.13,0.0,0.0,,60.0,49.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-12,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.3,0.0,0.0,,59.0,52.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-13,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.04,0.0,0.0,,62.0,48.0,,,,,,,,,,,,,,,,,,1.0,
1960-03-14,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,69.0,44.0,,,,,,,,,,,,,,,,,,,
1960-03-15,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,44.0,,,,,,,,,,,,,,,,,,,
1960-03-16,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,76.0,51.0,,,,,,,,,,,,,,,,,,,
1960-03-17,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,77.0,55.0,,,,,,,,,,,,,,,,,,,
1960-03-18,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,79.0,49.0,,,,,,,,,,,,,,,,1.0,,,
1960-03-19,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,77.0,51.0,,,,,,,,,,,,,,,,1.0,,,
1960-03-20,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,73.0,50.0,,,,,,,,,,1.0,,,,,,1.0,,,
1960-03-21,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,51.0,,,,,,,,,,,,,,,,1.0,,,
1960-03-22,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,60.0,51.0,,,,,,,,,,,,,,,,1.0,,,
